,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,CLOSEST_CIRCLE_DIST,CLOSEST_CIRCLE_INDEX
201302,-122.29115490400991,47.55746329610241,201113,305723,307003,3814957,Matched,Block,,M L KING JR ER WAY S BETWEEN S FERDINAND ST AND S HUDSON ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-09-29T00:00:00.000Z,9/29/2018 11:56:00 AM,Mid-Block (not related to intersection),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,6,Pedalcyclist Strikes Moving Vehicle,0,0,N,136.62470130484294,404
108961,-122.35034338358395,47.57140883759296,108962,123057,123057,3567055,Matched,Block,,SW SPOKANE ST BETWEEN 11TH CR AVE SW AND SW SPOKANE E BR,,,2,Injury Collision,Rear Ended,8,0,0,2,1,0,0,2011-06-03T00:00:00.000Z,6/3/2011 9:37:00 AM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,11154019.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,1479.670622916967,9
72420,-122.30060074704195,47.54637929995615,72421,86911,86911,2892613,Matched,Intersection,33288.0,BEACON WR AVE S AND S GRAHAM ST,,,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,0,2008-04-28T00:00:00.000Z,4/28/2008 1:18:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,8119010.0,,16,From same direction - one right turn - one straight,0,0,N,303.2092597976198,14
115651,-122.35545314264013,47.61860206613628,115652,131270,131270,3546468,Matched,Intersection,29717.0,1ST AVE AND DENNY WAY, ,,2,Injury Collision,Pedestrian,3,1,0,1,1,0,0,2012-06-23T00:00:00.000Z,6/23/2012 8:32:00 AM,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,N,Clear or Partly Cloudy,Dry,Daylight,,12175006.0,,3,Vehicle backing hits pedestrian,0,522698,N,906.2149300305402,663
98966,-122.25474009655224,47.50737960935385,98967,111997,111997,3372761,Matched,Block,,63RD AVE S BETWEEN S PRENTICE ST AND RENTON AVE S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2010-12-23T00:00:00.000Z,12/23/2010 10:00:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Unknown,Unknown,Unknown,,10357022.0,,32,One parked--one moving,0,0,N,507.8974829825097,305
88812,-122.32904334213691,47.627222920496386,88813,104670,104670,3200775,Matched,Block,,LAKEVIEW BLVD E BETWEEN EASTLAKE AVE E AND BELMONT AVE E,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2009-05-27T00:00:00.000Z,5/27/2009 9:12:00 PM,Mid-Block (not related to intersection),26.0,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,1,Clear or Partly Cloudy,Dry,Daylight,,9147001.0,,50,Fixed object,0,0,N,363.91395151918516,868
125380,-122.28648958242702,47.56010938928004,125381,142646,142646,3502522,Matched,Block,,RAINIER AVE S BETWEEN S ALASKA ST AND S ANGELINE ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2013-01-08T00:00:00.000Z,1/8/2013 7:56:00 AM,Mid-Block (not related to intersection),28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Raining,Wet,Daylight,,13008031.0,,50,Fixed object,0,0,N,138.31710157603433,263
98045,-122.33940746330728,47.57642575428602,98046,112477,112477,3335651,Matched,Block,,ALASKAN WY VI SB BETWEEN S LANDER ST AND ALASKAN WY VI SB WSB WB OFF RP,,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,0,0,0,2010-02-04T00:00:00.000Z,2/4/2010 8:34:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Raining,Wet,Dark - Street Lights On,,10035017.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,1859.175739774648,178
10890,-122.34506031416984,47.61614381099193,10891,24845,24845,1059903,Matched,Block,,BATTERY ST TUNNEL NB BETWEEN ALASKAN WY VI NB AND AURORA AVE N,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2004-12-05T00:00:00.000Z,12/5/2004,Mid-Block (not related to intersection),26.0,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,0,Raining,Wet,Daylight,,4340005.0,Y,50,Fixed object,0,0,N,1191.7217315781543,422
140429,-122.29237948130273,47.617017459200106,139430,158352,158372,2621618,Matched,Block,,31ST AVE BETWEEN E OLIVE ST AND E HOWELL ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2013-12-12T00:00:00.000Z,12/12/2013 12:30:00 AM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear or Partly Cloudy,Dry,Unknown,,,,32,One parked--one moving,0,0,N,103.28220125684699,555
125094,-122.3125149939233,47.54816748967822,125095,139655,139655,3608635,Matched,Intersection,33383.0,CORGIAT DR S AND S ALBRO PL,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2012-04-21T00:00:00.000Z,4/21/2012 2:57:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,12112009.0,,10,Entering at angle,0,0,N,645.5499187030565,525
36365,-122.33557402523344,47.61067790284203,34366,48911,48911,C662536,Matched,Intersection,29576.0,5TH AVE AND PIKE ST,,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2006-01-09T00:00:00.000Z,1/9/2006,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Raining,Wet,Dark - Street Lights On,,6009063.0,,0,Vehicle going straight hits pedestrian,0,0,N,700.8223613481449,185
119423,-122.34675025706272,47.52738630121839,120424,135382,135382,3380465,Matched,Block,,9TH AVE SW BETWEEN SW THISTLE ST AND SW CLOVERDALE ST,,,2,Injury Collision,Parked Car,2,0,0,2,1,0,0,2012-05-06T00:00:00.000Z,5/6/2012 4:15:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,12127008.0,,32,One parked--one moving,0,0,N,140.717148417434,12
111258,-122.29637020370212,47.72380075934859,111259,126823,126823,3466853,Matched,Block,,30TH AVE NE BETWEEN NE 130TH ST AND NE 133RD ST,,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2011-07-31T00:00:00.000Z,7/31/2011 2:05:00 PM,Mid-Block (not related to intersection),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Overcast,Dry,Daylight,,11212002.0,,4,Vehicle hits Pedestrian - All Other Actions,0,0,N,228.4049608933587,233
85026,-122.36009936213492,47.52286134344866,85027,100525,100525,3295656,Matched,Intersection,34871.0,DELRIDGE WAY SW AND SW HENDERSON ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2009-08-05T00:00:00.000Z,8/5/2009,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Clear or Partly Cloudy,Dry,Daylight,,9217018.0,,71,Same direction -- both turning right -- both moving -- sideswipe,0,0,N,216.91861761951418,467
190567,-122.35997282261877,47.62459538129706,190568,248272,248852,E667518,Unmatched,Block,,W MERCER ST BETWEEN 2ND AVE W AND 3RD AVE W,NEI,"Not Enough Information, or Insufficient Location Information",0,Unknown,,2,0,0,0,0,0,0,2017-05-02T00:00:00.000Z,5/2/2017,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,Y,666.2323988972968,663
37569,-122.2968153244282,47.59203975052734,37570,51810,51810,2621157,Matched,Block,,S JUDKINS ST BETWEEN M L KING JR WAY S AND BRADNER PL S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2006-12-22T00:00:00.000Z,12/22/2006 5:00:00 PM,Mid-Block (not related to intersection),13.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,6356036.0,,32,One parked--one moving,0,0,N,102.32586892498651,898
18457,-122.3318629527228,47.615828871801604,18458,32428,32428,1792903,Matched,Block,,HOWELL ST BETWEEN TERRY AVE AND BOREN AVE,,,2,Injury Collision,Rear Ended,3,0,0,2,1,0,0,2005-03-15T00:00:00.000Z,3/15/2005 1:22:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear or Partly Cloudy,Dry,Daylight,,5074006.0,,13,From same direction - both going straight - both moving - rear-end,0,0,N,478.5233157640674,55
121479,-122.3782360603364,47.56367176864469,121480,137030,137030,3547306,Matched,Block,,FAUNTLEROY WAY SW BETWEEN SW AVALON WAY AND 37TH AVE SW,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2012-04-17T00:00:00.000Z,4/17/2012 3:47:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,12108017.0,,20,One car leaving parked position,0,0,N,315.71090892575296,105
53822,-122.3359092734837,47.597782286044634,53823,68057,68057,2825882,Matched,Block,,ALASKAN WAY S BETWEEN S KING ST AND ALASKAN E RDWY WAY S,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2007-06-01T00:00:00.000Z,6/1/2007,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7152006.0,,50,Fixed object,0,0,N,1648.4045062707028,762
64871,-122.32904824815138,47.58878392114632,64872,78645,78645,2898377,Matched,Block,,4TH AVE S BETWEEN 4TH AVE NB ON RP AND S MASSACHUSETTS ST,,,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2007-10-16T00:00:00.000Z,10/16/2007 1:59:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,7289020.0,,23,From same direction - all others,0,0,N,1089.141640882774,875
60695,-122.32752622282379,47.60439255396943,60696,75502,75502,2804835,Matched,Block,,JAMES ST BETWEEN 6TH AVE AND 7TH AVE,,,2b,Serious Injury Collision,Pedestrian,3,1,0,1,1,1,0,2007-10-28T00:00:00.000Z,10/28/2007 12:12:00 AM,Mid-Block (not related to intersection),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,7301002.0,,0,Vehicle going straight hits pedestrian,0,0,N,713.6468700896648,762
189703,-122.34456064833552,47.693822034501935,189704,250733,251333,3737569,Matched,Block,,AURORA AVE N BETWEEN N 89TH ST AND N 90TH ST, ,,1,Property Damage Only Collision,Rear Ended,5,0,0,2,0,0,0,2017-10-20T00:00:00.000Z,10/20/2017 7:57:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,13,From same direction - both going straight - both moving - rear-end,0,0,N,180.7629999004282,1008
77913,-122.302770995815,47.73383870825924,77914,92927,92927,2952543,Matched,Block,,NE 145TH ST BETWEEN 24TH AVE NE AND 25TH AVE NE,,,1,Property Damage Only Collision,Sideswipe,3,0,0,3,0,0,0,2008-08-09T00:00:00.000Z,8/9/2008,Mid-Block (but intersection related),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear or Partly Cloudy,Dry,Daylight,,8222035.0,Y,11,From same direction - both going straight - both moving - sideswipe,0,0,N,336.36171392682985,1003
12235,-122.34586158783074,47.612989913993864,12236,26283,26283,1213371,Matched,Block,,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2004-07-04T00:00:00.000Z,7/4/2004,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,4186019.0,,32,One parked--one moving,0,0,N,1426.7451296184229,185
155530,-122.2991519502568,47.66097420692446,156531,192584,192684,3707788,Matched,Block,,NE 45TH ST RP BETWEEN MONTLAKE BLVD NE AND NE 45TH ST, ,,2,Injury Collision,Other,2,0,0,2,1,0,0,2015-05-06T00:00:00.000Z,5/6/2015 8:00:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,23,From same direction - all others,0,0,N,781.19536238077,144
36976,-122.34324494345628,47.696353740069846,34977,49329,49329,2405518,Matched,Block,,N 93RD ST BETWEEN AURORA AVE N AND STONE AVE N,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2006-08-22T00:00:00.000Z,8/22/2006 3:20:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,6234017.0,,20,One car leaving parked position,0,0,N,101.33031287997055,929
36757,-122.31128676149002,47.626871899887476,34758,48878,48878,2128033,Matched,Intersection,29321.0,16TH AVE E AND E ALOHA ST,,,2b,Serious Injury Collision,Angles,3,0,0,2,1,1,0,2006-01-11T00:00:00.000Z,1/11/2006 7:49:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights Off,,6011026.0,,10,Entering at angle,0,0,N,179.89149037721842,544
112609,-122.32498923023235,47.678757570659,110610,125676,125676,C759556,Unmatched,Intersection,24584.0,WOODLAWN AVE NE AND NE RAVENNA EB BV, ,,0,Unknown,,0,0,0,0,0,0,0,2011-12-28T00:00:00.000Z,12/28/2011,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,,,,,,11362028.0,, ,,0,524626,N,465.12542858765477,1036
13542,-122.33085471581131,47.6030001987117,13543,27594,27594,1482873,Matched,Block,,JAMES ST BETWEEN 3RD AVE AND 4TH AVE,,,2,Injury Collision,Rear Ended,8,0,0,2,7,0,0,2004-07-01T00:00:00.000Z,7/1/2004,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,4183008.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,955.9058947190889,762
15443,-122.3482193140227,47.625425422386655,16444,30123,30123,1790010,Unmatched,Block,,ROY ST BETWEEN 4TH AVE N AND 5TH AVE N,,,0,Unknown,,0,0,0,0,0,0,0,2004-11-10T00:00:00.000Z,11/10/2004,Driveway Junction,14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,4315025.0,,,,0,0,N,175.23714818577307,422
4605,-122.320208112834,47.619912461075,1606,132800,132800,3507316,Matched,Block,,E JOHN ST BETWEEN BROADWAY E AND 10TH AVE E,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2012-07-06T00:00:00.000Z,7/6/2012 4:17:00 PM,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,12188024.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N,197.1970253215886,40
10113,-122.33417859478409,47.60172233870561,10114,24368,24368,1213517,Matched,Intersection,30357.0,1ST AVE AND YESLER WAY,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2004-05-29T00:00:00.000Z,5/29/2004 3:06:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights On,,4150029.0,,29,From opposite direction - one left turn - one right turn,0,0,N,1210.7364619663758,762
86822,-122.32213936040482,47.61581012459423,87823,102321,102321,3287717,Matched,Block,,HARVARD AVE BETWEEN E PINE ST AND E OLIVE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2009-02-04T00:00:00.000Z,2/4/2009,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,9035006.0,,32,One parked--one moving,0,0,N,217.39565413539327,107
171458,-122.30956834013456,47.70077328769561,171459,220959,221239,E541213,Matched,Block,,17TH AVE NE BETWEEN NE 98TH ST AND NE 100TH ST, ,,1,Property Damage Only Collision,Angles,0,0,0,2,0,0,0,2016-04-20T00:00:00.000Z,4/20/2016 1:55:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,50.33761150274902,632
181174,-122.32956491560336,47.55187533674443,181175,235826,236266,3626585,Matched,Intersection,33178.0,4TH AVE S AND S ORCAS ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2017-02-13T00:00:00.000Z,2/13/2017 4:09:00 AM,At Intersection (intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,Y,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,10,Entering at angle,0,0,N,518.438848711732,202
192828,-122.33907232260485,47.57150646853242,192829,252024,252624,E729521,Matched,Block,,WEST SEATTLE BR EB BETWEEN 1ST AV S OFF RP AND SPOKANE ST - W SEA B RP, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2017-10-27T00:00:00.000Z,10/27/2017 12:10:00 PM,Mid-Block (not related to intersection),26.0,MOTOR VEHICLE STRUCK OBJECT IN ROAD,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,50,Fixed object,0,0,N,1867.801207789237,512
16223,-122.36435375116524,47.56834594585089,15224,29269,29269,04121047,Unmatched,Block,,SW ANDOVER ST BETWEEN DELRIDGE WAY SW AND 26TH AVE SW,,,0,Unknown,,0,0,0,0,0,0,0,2004-04-30T00:00:00.000Z,4/30/2004,Mid-Block (but intersection related),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,,,,,,4121047.0,,,,0,0,N,610.3207373303496,9
40006,-122.37526575024965,47.531912201778496,39007,53493,53493,2625544,Matched,Intersection,34066.0,34TH AVE SW AND SW KENYON ST,,,2,Injury Collision,Angles,3,0,0,2,1,0,0,2006-11-20T00:00:00.000Z,11/20/2006 12:06:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Raining,Wet,Daylight,,6324025.0,,10,Entering at angle,0,0,N,307.321873102201,729
53001,-122.35554671034195,47.72323366893175,53002,67319,67319,2618086,Matched,Intersection,35821.0,GREENWOOD AVE N AND N 130TH ST, ,,2,Injury Collision,Pedestrian,3,2,0,1,2,0,0,2007-02-27T00:00:00.000Z,2/27/2007 8:05:00 PM,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Raining,Wet,Dark - Street Lights On,Y,7058001.0,,1,Vehicle turning right hits pedestrian,0,524106,N,226.72723055854783,290
202389,-122.29469766252743,47.720183803433216,202200,302002,303222,E836167,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 125TH ST AND NE 127TH ST, ,,2,Injury Collision,Rear Ended,4,0,0,3,2,0,0,2018-08-22T00:00:00.000Z,8/22/2018 3:01:00 PM,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,317.9573460171921,148
49466,-122.32504098329923,47.63385899499117,49467,63684,63684,2070605,Matched,Block,,E GARFIELD ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2006-02-13T00:00:00.000Z,2/13/2006 11:49:00 PM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Wet,Dark - Street Lights On,,6044025.0,,32,One parked--one moving,0,0,N,469.2354380157918,796
114877,-122.31425516449549,47.68606162484504,114878,130383,130383,C747454,Unmatched,Block,,LAKE CITY WAY NE BETWEEN 12TH AVE NE AND NE 80TH ST,,,0,Unknown,,0,0,0,0,0,0,0,2011-02-03T00:00:00.000Z,2/3/2011,Mid-Block (but intersection related),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,11034035.0,,,,0,0,N,151.15776596041906,940
168405,-122.34513248499857,47.616139557085035,168406,210818,211058,3791494,Matched,Block,,BATTERY ST TUNNEL SB BETWEEN AURORA AVE N AND ALASKAN WY VI SB, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2016-01-04T00:00:00.000Z,1/4/2016 5:53:00 AM,Mid-Block (not related to intersection),26.0,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Raining,Wet,Dark - Street Lights On,,,Y,50,Fixed object,0,0,N,1190.4334744838513,422
193073,-122.31939161157459,47.683133930932684,195074,266783,267561,3754154,Matched,Block,,NE 75TH ST BETWEEN 8TH AVE NE AND 9TH AVE NE, ,,2b,Serious Injury Collision,Other,1,0,0,1,1,1,0,2018-01-21T00:00:00.000Z,1/21/2018 5:15:00 PM,Mid-Block (not related to intersection),26.0,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Raining,Wet,Dark - Street Lights On,,,Y,50,Fixed object,0,0,N,328.85533746186417,435
84344,-122.2909807170097,47.60926927483969,84345,99799,99799,3274905,Matched,Block,,E COLUMBIA ST BETWEEN 32ND AVE AND 33RD AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2009-06-13T00:00:00.000Z,6/13/2009 11:59:00 PM,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Unknown,Unknown,Unknown,,9164018.0,,32,One parked--one moving,0,0,N,39.45305982624583,533
24158,-122.3352594523253,47.60362423631366,24159,38314,38314,1776561,Matched,Block,,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2005-08-02T00:00:00.000Z,8/2/2005,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,5214028.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N,1104.4274034850334,762
159745,-122.38162009885565,47.55292971982147,160746,202114,202254,3731706,Matched,Block,,FAUNTLEROY WAY SW BETWEEN SW BRANDON ST AND SW FINDLAY ST, ,,2,Injury Collision,Rear Ended,3,0,0,3,1,0,0,2015-09-03T00:00:00.000Z,9/3/2015 10:44:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N,140.93262247137173,672
55718,-122.31611591438315,47.54673009716829,55719,69947,69947,2625811,Matched,Block,,13TH AVE S BETWEEN S ANGELO ST AND S ALBRO PL,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2007-05-20T00:00:00.000Z,5/20/2007 9:50:00 AM,Mid-Block (but intersection related),28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Raining,Dry,Daylight,,7140008.0,,50,Fixed object,0,0,N,356.838026919565,399
109503,-122.2765153555853,47.52378258740837,109504,125036,125036,3335687,Matched,Block,,RENTON AVE S BETWEEN S TRENTON ST AND S HENDERSON ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2011-01-28T00:00:00.000Z,1/28/2011 1:52:00 PM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Overcast,Dry,Daylight,,11028014.0,,12,From same direction - both going straight - one stopped - sideswipe,0,0,N,844.3608104406972,401
124115,-122.29217450746228,47.57587473299172,124116,139736,139736,3507397,Matched,Block,,32ND AVE S BETWEEN S MOUNT BAKER EB BV AND S HANFORD ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2012-07-23T00:00:00.000Z,7/23/2012 12:01:00 AM,Mid-Block (not related to intersection),0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Unknown,Unknown,Unknown,,12205024.0,,32,One parked--one moving,0,0,N,127.15484924859146,434
155689,-122.29069886526999,47.56977061348821,156690,192425,192505,E420644,Matched,Intersection,32672.0,RAINIER AVE S AND S CHARLESTOWN ST, ,,2,Injury Collision,Cycles,0,0,1,1,1,0,0,2015-04-28T00:00:00.000Z,4/28/2015 5:22:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,45,Vehicle - Pedalcyclist,0,524336,N,399.21796955623296,485
199535,-122.3128879546972,47.55344031119921,200536,300084,301284,E822983,Matched,Block,,S LUCILE ST BETWEEN 15TH AVE S AND 16TH AVE S, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2018-07-24T00:00:00.000Z,7/24/2018 9:56:00 AM,Mid-Block (but intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,32,One parked--one moving,0,0,N,299.782341234382,327
37097,-122.33643132167713,47.6896036889632,37098,51567,51567,2625309,Matched,Block,,WALLINGFORD AVE N BETWEEN N 82ND ST AND N 85TH ST,,,2,Injury Collision,Parked Car,2,0,0,2,1,0,0,2006-10-25T00:00:00.000Z,10/25/2006 7:40:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,6298021.0,,32,One parked--one moving,0,0,N,224.32219898407828,867
